Grade,Subject,Unit #,Unit Title,Unit Objective,Skills Tested,Lesson 1 Title,Lesson 1 Bloom,Lesson 2 Title,Lesson 2 Bloom,Lesson 3 Title,Lesson 3 Bloom,Lesson 4 Title,Lesson 4 Bloom,Lesson 5 Title,Lesson 5 Bloom,Lesson 6 Title,Lesson 6 Bloom,Lesson 7 Title,Lesson 7 Bloom,Lesson 8 Title,Lesson 8 Bloom,Lesson 9 Title,Lesson 9 Bloom,Lesson 10 Title,Lesson 10 Bloom,Lesson 11 Title,Lesson 11 Bloom,Lesson 12 Title,Lesson 12 Bloom,Lesson 13 Title,Lesson 13 Bloom,Lesson 14 Title,Lesson 14 Bloom,Lesson 15 Title,Lesson 15 Bloom,Lesson 16 Title,Lesson 16 Bloom,Lesson 17 Title,Lesson 17 Bloom,Lesson 18 Title,Lesson 18 Bloom,Lesson 19 Title,Lesson 19 Bloom,Lesson 20 Title,Lesson 20 Bloom
1,Math,8,Measuring Length & Comparing,Measure and compare lengths using nonstandard and standard units.,"measurement, comparison, estimation",Collecting and Tallying Data,Understand,Creating Tally Charts,Apply,Reading and Interpreting Tally Charts,Apply,Drawing Picture Graphs,Understand,Reading Picture Graphs,Apply,Creating Bar Graphs,Analyze,Comparing Bar and Picture Graphs,Apply,Using Graphs to Answer Questions,Analyze,Designing a Class Survey,Create,Collecting Data for Bar Graphs,Apply,Labeling Axes and Titles,Understand,Comparing Categories,Apply,Making and Interpreting Tables,Create,Finding the Difference Between Bars,Understand,Analyzing Graph Mistakes,Apply,Graphing Favorite Animals,Analyze,Creating a Question for a Graph,Create,Explaining Graph Choices,Evaluate,Reviewing Data Displays,Evaluate,Presenting Our Graph Projects,Create
1,Math,9,Math Problems in the Real World,"Use math in everyday contexts like shopping, calendars, and charts.","real-world math, problem solving, reasoning",Understanding Key Words in Word Problems,Understand,Modeling Word Problems with Pictures,Apply,Using Equations to Represent Word Problems,Apply,Creating Story Problems from Equations,Create,Choosing the Correct Operation,Analyze,Solving Real-World Addition Problems,Apply,Solving Real-World Subtraction Problems,Apply,Writing Equations for Word Problems,Apply,Solving Problems with Extra Information,Analyze,Explaining Our Thinking with Partners,Apply,Math Journals: Operation Reflections,Evaluate,Building Problem Solving Fluency,Apply,Partner Problem Creation,Create,Playing Word Problem Card Games,Apply,Solving Problems with Missing Numbers,Analyze,Math Strategy Posters,Create,Peer Sharing of Solutions,Evaluate,Mixed Practice Day,Analyze,Math Relay: Word Problems,Apply,Problem Solving Presentation Day,Create
1,Math,10,Data with Tally Charts & Graphs,Organize and interpret simple data using tally charts and bar graphs.,"data collection, graphing, interpretation",Reviewing 2D and 3D Shapes,Understand,Counting Sides and Corners,Apply,Sorting Shapes by Attributes,Analyze,Drawing Shapes on Grid Paper,Apply,Creating Shapes with Craft Materials,Understand,Identifying Shapes in Our Environment,Apply,Describing Shapes Using Math Words,Analyze,Building Shape Structures,Apply,Matching Nets to 3D Shapes,Understand,Exploring Congruent Shapes,Analyze,Finding Symmetry in Shapes,Analyze,Folding Paper to Show Symmetry,Create,Comparing Shape Properties,Apply,Playing Shape Sorting Games,Understand,Drawing 2D Shapes Based on Clues,Apply,Creating a Class Shape Book,Analyze,Explaining Shape Sorting Strategies,Apply,Solving Shape Riddles,Evaluate,Designing Shape-Based Art,Apply,Geometry Celebration,Create
1,Math,11,Understanding Fractions (Intro),Explore equal parts through simple halves and fourths.,"fractions, part-whole, shape partitioning",Reviewing Equal Parts,Understand,Identifying Halves and Fourths,Apply,Folding Paper to Show Fractions,Apply,Coloring Parts of Shapes,Apply,Naming Fractions in Words and Numbers,Apply,Exploring Real-Life Fractions,Understand,Comparing Halves and Fourths,Analyze,Using Fraction Circles,Apply,Sorting Shapes by Fractions,Understand,Drawing Fractions of Objects,Apply,Using Pattern Blocks to Show Halves and Fourths,Understand,Writing Fraction Sentences,Apply,Explaining How Fractions Work,Evaluate,Solving Fraction Picture Problems,Create,Playing Fraction Matching Games,Analyze,Creating Fraction Collages,Apply,Making a Fraction Poster,Analyze,Fraction Word Problems,Evaluate,Sharing Fraction Strategies,Apply,Fraction Mini Fair,Create
1,Math,12,Year-End Math Games & Review,Apply all math skills through collaborative games and creative activities.,"review, application, strategy use",Reviewing Addition and Subtraction,Remember,Reviewing Shapes and Patterns,Remember,Skip Counting Practice,Understand,Reviewing Place Value,Apply,Word Problem Practice,Apply,Time and Money Review,Apply,Measurement Review Games,Apply,Graphing and Data Games,Analyze,Partner Math Challenge,Apply,Using Math Journals for Reflection,Apply,Solving Real-World Math Scenarios,Apply,Creating a Math Board Game,Create,Reviewing Strategies with Partners,Apply,Explaining Our Favorite Tools,Analyze,Mixed Skill Challenge Boards,Create,Creating a Math Booklet,Create,Classroom Math Olympics,Evaluate,Math Escape Room Review,Evaluate,Peer Celebration and Feedback,Apply,First Grade Math Expo,Create
1,Reading,1,Sounding Out Words,Decode short vowel and consonant sounds in simple words.,"phonics, decoding, blending",Reviewing Letter Sounds,Remember,Sounding Out CVC Words,Remember,Blending and Segmenting Words,Apply,"Identifying Beginning, Middle, End Sounds",Apply,Using Elkonin Boxes for Phonics,Apply,Practicing Short Vowel Sounds,Understand,Reading Simple Sentences,Understand,Using Picture Clues,Analyze,Pointing to Each Word,Apply,Identifying Sight Words,Analyze,Making a Sight Word Book,Apply,Highlighting Words in Text,Apply,Partner Reading Practice,Apply,Using a Reading Finger,Create,Choosing Just-Right Books,Apply,Reading to a Buddy,Create,Acting Out a Sentence,Analyze,Word Work Games,Evaluate,Reading Fluency Practice,Apply,My Reading Journal,Create
1,Reading,2,Characters & Feelings,Describe characters and their emotions using text clues.,"character analysis, inference, emotion recognition",What Is a Character?,Remember,Identifying Main Characters,Remember,Describing Characters with Words,Apply,Drawing a Character from a Story,Apply,Sorting Character Traits,Apply,Making a Character Mask,Understand,Acting Like a Character,Understand,Using Clues to Describe a Character,Analyze,Writing About Our Favorite Character,Apply,Comparing Two Characters,Analyze,Character Emotion Cards,Apply,Choosing a Voice for a Character,Apply,Retelling a Story with Character Focus,Apply,Explaining What a Character Does,Create,Character Trait Sorting Game,Apply,Character Walk (Gallery),Create,Matching Feelings to Characters,Analyze,Building a Character Collage,Evaluate,Class Character Parade,Apply,Reflecting on Our Favorite Characters,Create
1,Reading,3,Story Order & Retelling,Retell stories in order using key details.,"sequencing, summarizing, comprehension","Understanding Beginning, Middle, End",Remember,Sequencing Stories with Sentences,Understand,Sorting Events from a Story,Apply,Drawing Story Maps,Apply,Retelling a Story in Order,Apply,Using Story Boards,Analyze,"Describing What Happens First, Next, Last",Apply,Partner Retells,Apply,Writing a Summary Sentence,Apply,Acting Out a Retell,Analyze,Writing a Story Summary,Apply,Creating a Story Comic,Apply,Reading and Retelling in Centers,Understand,Building Retell Flipbooks,Apply,Retell Relay Game,Analyze,Matching Retell Sentences,Create,Explaining a Favorite Part,Analyze,Writing an Ending Sentence,Evaluate,Reviewing Key Events,Apply,Retell Celebration Day,Create
1,Reading,4,Understanding Main Idea,Identify the main idea of a short story or nonfiction passage.,"main idea, detail recognition, comprehension",Describing Characters with Details,Remember,Sorting Traits and Feelings,Understand,Giving Evidence for Character Traits,Apply,Drawing Character Change Over Time,Apply,Comparing Characters in a Story,Apply,Role Playing Characters,Analyze,Reading Character Dialogue with Expression,Apply,Creating Character Charts,Apply,Identifying Actions and Motivations,Apply,Making a Character Book,Analyze,Explaining a Character‚Äôs Choices,Apply,Retelling Focused on Characters,Apply,Building Character Webs,Understand,Using Clues to Describe a Character,Apply,Choosing Favorite Characters,Analyze,Partner Character Interviews,Create,Creating a Trait Collage,Analyze,Character Journaling,Evaluate,Reflecting on Character Growth,Apply,Class Character Museum,Create
1,Reading,5,Exploring Story Details,"Answer who, what, where, when, and why questions about a text.","comprehension, questioning, details",Identifying Where Stories Take Place,Remember,Describing Settings with Details,Understand,Comparing Settings Across Stories,Apply,Using Clues to Describe Setting,Apply,Drawing Settings from a Read-Aloud,Apply,Writing Sentences About Settings,Analyze,Creating Setting Collages,Apply,Exploring Setting Changes in Stories,Apply,Writing About a Story Setting,Apply,Choosing a Setting for Our Story,Analyze,Making a Setting Mini-Book,Apply,Explaining Why Settings Matter,Apply,Sorting Settings as Real or Make-Believe,Understand,Reading to Find Setting Clues,Apply,Partner Work: Describe the Setting,Analyze,Using Pictures to Explore Settings,Create,Matching Stories to Settings,Analyze,Making a Setting Flipbook,Evaluate,Building a Diorama of a Setting,Apply,Sharing Our Favorite Settings,Create
1,Reading,6,Reading with Expression,"Read aloud with appropriate rate, intonation, and emotion.","fluency, prosody, oral reading",Asking and Answering Story Questions,Remember,Sorting Question Words,Understand,Practicing Questioning with a Partner,Apply,Asking Questions Before Reading,Apply,Writing Down Questions During Reading,Apply,Using Questions to Understand,Analyze,Answering Questions Using Text Clues,Apply,Choosing the Best Question Word,Apply,Playing the Question Game,Apply,Making a Story Question Book,Analyze,Highlighting Answers in a Story,Apply,Using Sentence Starters to Ask Questions,Apply,Creating a Reading Question Poster,Understand,Asking and Answering in Groups,Apply,Reading and Responding to Questions,Analyze,Choosing Favorite Questions,Create,Partner Question Interviews,Analyze,Making a Question and Answer Comic,Evaluate,Reflecting on What We Wondered,Apply,Reading Questions Celebration,Create
1,Reading,7,Reading to Learn: Nonfiction,"Understand informational texts using headings, photos, and labels.","nonfiction features, comprehension, scanning",Identifying Main Idea in Text,Remember,Using Headings and Titles,Understand,Looking for Repeated Words,Apply,Highlighting Key Details,Apply,Using a Web to Organize Details,Apply,Writing the Main Idea in Our Words,Analyze,Choosing a Good Title,Apply,Partner Main Idea Practice,Apply,Reading Short Passages Together,Analyze,Explaining How We Found the Main Idea,Apply,Using Graphic Organizers,Understand,Matching Details to Main Ideas,Apply,Comparing Main Ideas from Two Texts,Analyze,Making Posters of Key Ideas,Create,Reading Articles and Finding Topics,Understand,Using Sentence Starters,Apply,Retelling the Main Idea,Evaluate,Review Game: Main Idea and Details,Apply,Creating a Class Main Idea Book,Evaluate,Main Idea & Details Celebration,Create
1,Reading,8,Finding Facts in Text,Locate facts in print and digital nonfiction sources.,"fact-finding, skimming, text features",Learning About Authors,Remember,Learning About Illustrators,Understand,Explaining Roles of Book Creators,Apply,Sorting Author vs Illustrator Tasks,Apply,Writing Sentences About What They Do,Apply,Reading Author Bios,Analyze,Looking at Picture Style in Books,Apply,Comparing Illustrations,Apply,Reading Two Books by the Same Author,Analyze,Describing Author Style,Apply,Explaining Author Purpose,Understand,Matching Illustrations to Emotions,Apply,Drawing in the Style of an Illustrator,Analyze,Writing Like an Author,Create,Creating a Book Together (Author/Illustrator Roles),Understand,Writing a Letter to an Author,Apply,Making a Class Author Wall,Evaluate,Creating a ‚ÄúMeet the Illustrator‚Äù Poster,Apply,Reflecting on Author/Illustrator Roles,Evaluate,Author & Illustrator Presentation Day,Create
1,Reading,9,Connecting Text to Life,Make personal connections to characters and stories.,"text-to-self, comprehension, empathy",Identifying Opinions in Sentences,Remember,Sorting Facts and Opinions,Understand,Writing an Opinion About a Book,Apply,Explaining Why We Like a Character,Apply,Choosing Favorite Book Parts,Apply,Writing Using 'I think' and 'because',Analyze,Comparing Two Stories by Opinion,Apply,Writing Book Reviews,Apply,Making Opinion Posters,Analyze,Sharing Opinions with a Partner,Apply,Creating Opinion Statements,Understand,Playing the Opinion Match Game,Apply,Interviewing Classmates on Favorites,Analyze,Creating a Class Opinion Chart,Create,Explaining Our Thinking in Writing,Understand,Creating Book Recommendation Cards,Apply,Peer Review of Opinion Writing,Evaluate,Publishing Opinion Paragraphs,Apply,Author Share: Our Opinions,Evaluate,Opinion Publishing Party,Create
1,Reading,10,Asking & Answering Questions,Ask and answer questions to clarify understanding.,"inquiry, response accuracy, discussion",Making Text-to-Self Connections,Remember,Drawing and Writing Connections,Understand,Reading Stories and Finding Connections,Apply,Using Sentence Frames to Connect,Apply,Sharing Stories That Feel Personal,Apply,Matching Experiences to Books,Analyze,Sorting Books by Connection Themes,Apply,Discussing Connections in Groups,Apply,Writing Paragraphs About Connections,Analyze,Creating Text-to-Self Posters,Apply,Explaining Emotional Responses,Understand,Partner Work: Connection Conversations,Apply,Role Playing Story Moments,Analyze,Creating a Class Book of Connections,Create,Reflecting on Book Memories,Understand,Designing a Story Journal,Apply,Writing Letters About Story Connections,Evaluate,Connection Bookmark Project,Apply,Gallery Walk of Connections,Evaluate,Final Connection Celebration,Create
1,Reading,11,Poetry & Rhythm,"Recognize rhythm, rhyme, and repetition in poems.","phonological awareness, pattern recognition, fluency",Exploring Poetry with Rhythm,Remember,Reading Poems with Expression,Understand,Identifying Repetition in Poems,Apply,Noticing Line Breaks,Apply,Highlighting Rhyming Words,Apply,Comparing Two Poems,Analyze,Reading Silly vs Serious Poems,Apply,Drawing the Poem‚Äôs Mood,Apply,Writing Our Own Rhyming Poems,Apply,Creating a Class Poetry Book,Create,Reading Partner Poems,Understand,Building Poems with Word Cards,Apply,Performing Poems in Small Groups,Analyze,Using Sound Words in Poems,Create,Writing Acrostic Poems,Apply,Reading Nature Poems,Apply,Illustrating Poem Imagery,Evaluate,Sharing Our Favorite Poems,Evaluate,Publishing Our Poetry Collection,Apply,Poetry Celebration Day,Create
1,Reading,12,Author Celebration,Share personal reading progress and favorite texts.,"presentation, reflection, speaking & listening",Reflecting on Reading Growth,Remember,Rereading Favorite Books,Understand,Summarizing What We Learned,Apply,Sharing Our Favorite Genres,Apply,Revisiting Reading Strategies,Apply,Reviewing Story Elements,Analyze,Creating a Reading Poster,Apply,Reading Games and Jeopardy,Apply,Writing Reading Advice to 2nd Graders,Apply,Reviewing Our Reading Journals,Create,Creating a Reading Badge,Understand,Completing a Reading BINGO,Apply,Reading Flashback Activities,Analyze,Author Shout-Out Letters,Create,Creating a Genre Collage,Apply,Partner Interviews on Reading Growth,Apply,Publishing End-of-Year Reflections,Evaluate,Making a Reading Timeline,Evaluate,Peer Read Aloud Practice,Apply,Reading Achievement Celebration,Create
1,Science,1,How Scientists Ask Questions,Learn how scientists observe and ask questions about the world.,"observation, inquiry, critical thinking",What Is Science?,Remember,Using Our Senses to Observe,Understand,Asking Questions Like a Scientist,Understand,Observation Walk,Apply,Partner Talk: What Did You Notice?,Reflect,Drawing: What I Observed,Create,Sorting: Living vs. Nonliving,Analyze,Storytime: Scientists in Action,Understand,Journaling: What I Learned From Observations,Reflect,Group Discussion: Why Scientists Ask Questions,Analyze,Experiment: Simple Observation Activity,Apply,Visualization: Imagine Being a Scientist,Apply,Interview: Ask an Expert,Apply,Writing Prompt: What I Want to Learn,Create,Role Play: Being a Scientist,Apply,Partner Share: My Favorite Science Activity,Reflect,Group Project: Build a Science Exploration Kit,Create,Reflection Circle: What Science Means to Me,Reflect,Presentation: My Science Exploration,Evaluate,Celebration: Science Day,Reflect
1,Science,2,Animal Groups & Traits,Identify animals by type and describe key physical features.,"classification, comparison, trait analysis",What Are Animal Groups?,Remember,Characteristics of Different Animals,Understand,Sorting: Grouping Animals,Analyze,Storytime: Animals and Their Traits,Understand,Partner Share: My Favorite Animal,Reflect,Drawing: Animals I Know,Create,Journaling: How Animals Are Alike and Different,Reflect,Role Play: Pretend to Be an Animal,Apply,Group Discussion: Why Animals Are Important,Analyze,Visualization: Imagine Being Different Animals,Apply,Sorting Game: Match Animals and Traits,Analyze,Interview: Ask Someone About Their Favorite Animal,Apply,Writing Prompt: What Makes Animals Special,Create,Partner Challenge: Share Animal Facts,Reflect,Creating a Class Animal Chart,Create,Reflection Circle: What I Learned About Animals,Reflect,Presentation: My Favorite Animal,Evaluate,Experiment: Animal Movement,Apply,Journaling: How Animals Move,Reflect,Celebration: Animal Day,Reflect
1,Science,3,Weather Patterns & Seasons,Observe weather and recognize seasonal changes.,"weather tracking, recording, pattern noticing",What Is Weather?,Remember,Types of Weather,Understand,Observing Daily Weather,Apply,Storytime: Seasons and Weather,Understand,Partner Share: Favorite Weather,Reflect,Drawing: Weather Patterns,Create,Weather Tracking Chart,Create,Sorting: Weather Types,Analyze,Journaling: How Weather Changes,Reflect,Role Play: Acting Out Weather,Apply,Visualization: Imagine Different Seasons,Apply,Interview: Ask Someone About Their Favorite Season,Apply,Writing Prompt: My Favorite Season,Create,Partner Talk: Weather Changes,Reflect,Group Discussion: Why Weather Matters,Analyze,Experiment: Simple Weather Observations,Apply,Presentation: My Weather Chart,Evaluate,Sorting Game: Match Weather to Season,Analyze,Reflection Circle: What I Learned About Weather,Reflect,Celebration: Weather Day,Reflect
1,Science,4,Plant Life & Growth,Explore how plants grow and what they need to survive.,"parts of a plant, sequencing, comparison",What Do Plants Need to Grow?,Remember,Parts of a Plant,Understand,Storytime: How Plants Grow,Understand,Planting Seeds,Apply,Partner Share: My Favorite Plant,Reflect,Journaling: How Plants Change,Reflect,Sorting: Living vs. Nonliving,Analyze,Role Play: Growing a Plant,Apply,Creating a Plant Growth Chart,Create,Visualization: Imagine Being a Seed,Apply,Group Discussion: Why Plants Are Important,Analyze,Interview: Ask Someone About Their Favorite Plant,Apply,Writing Prompt: How I Help Plants Grow,Create,Partner Challenge: Plant a Seed,Apply,Experiment: Watch a Plant Grow,Apply,Reflection Circle: What I Learned About Plants,Reflect,Presentation: My Plant Growth Chart,Evaluate,Sorting Game: Match Seeds and Plants,Analyze,Celebration: Plant Day,Reflect,Drawing Project: My Favorite Plant,Create
1,Science,5,Light & Sound,Investigate how light and sound travel and change.,"energy forms, cause/effect, experimentation",What Is Light?,Remember,What Is Sound?,Remember,Storytime: Exploring Light and Sound,Understand,Experiment: How Light Travels,Apply,Experiment: How Sound Travels,Apply,Partner Share: What I Heard and Saw,Reflect,Journaling: How Light and Sound Change,Reflect,Sorting: Light and Sound Sources,Analyze,Role Play: Acting Out Light and Sound,Apply,Creating a Light and Sound Chart,Create,Visualization: Imagine Light and Sound,Apply,Group Discussion: Why Light and Sound Are Important,Analyze,Interview: Ask Someone About Light and Sound,Apply,Writing Prompt: My Favorite Light or Sound,Create,Partner Challenge: Find Light and Sound Sources,Apply,Reflection Circle: What I Learned About Light and Sound,Reflect,Presentation: My Light and Sound Chart,Evaluate,Sorting Game: Match Light and Sound Sources,Analyze,Celebration: Light and Sound Day,Reflect,Drawing Project: Light and Sound in My World,Create
1,Science,6,Simple Machines Around Us,Identify and explore how simple machines help us.,"force and motion, real-world application, labeling",What Are Simple Machines?,Remember,Types of Simple Machines,Understand,Storytime: How Simple Machines Help,Understand,Sorting: Simple Machines and Their Uses,Analyze,Role Play: Using Simple Machines,Apply,Journaling: How Simple Machines Help Me,Reflect,Partner Share: My Favorite Simple Machine,Reflect,Creating a Simple Machine Chart,Create,Experiment: Using Simple Machines,Apply,Visualization: Imagine Using Simple Machines,Apply,Group Discussion: Why Simple Machines Are Important,Analyze,Interview: Ask Someone About Simple Machines,Apply,Writing Prompt: How I Use Simple Machines,Create,Partner Challenge: Find Simple Machines at Home,Apply,Group Project: Build a Simple Machine Model,Create,Reflection Circle: What I Learned About Simple Machines,Reflect,Presentation: My Simple Machine Model,Evaluate,Sorting Game: Match Machines and Uses,Analyze,Celebration: Simple Machines Day,Reflect,Drawing Project: My Favorite Simple Machine,Create
1,Science,7,Water & Its Forms,"Learn about liquid, solid, and gas forms of water.","states of matter, temperature, vocabulary",What Is Water?,Remember,"Exploring Liquid, Solid, and Gas",Understand,Storytime: Water Changes,Understand,Experiment: Observe Water in Different Forms,Apply,Partner Share: My Favorite Water Form,Reflect,Journaling: How Water Changes,Reflect,Sorting: Water Forms,Analyze,Role Play: Acting Out Water Forms,Apply,Creating a Water Cycle Chart,Create,Visualization: Imagine Water in Nature,Apply,Group Discussion: Why Water Is Important,Analyze,Interview: Ask Someone About Water,Apply,Writing Prompt: What I Learned About Water,Create,Partner Challenge: Find Water Forms at Home,Apply,Group Project: Water Cycle Model,Create,Reflection Circle: What I Learned About Water,Reflect,Presentation: My Water Cycle Model,Evaluate,Sorting Game: Match Water Forms,Analyze,Celebration: Water Day,Reflect,Drawing Project: Water in My World,Create
1,Science,8,Science Experiments & Tools,"Use basic science tools to observe, measure, and test.","measuring, tool use, prediction",What Are Science Tools?,Remember,How to Use Science Tools,Understand,Storytime: A Scientistís Tools,Understand,Experiment: Using a Magnifying Glass,Apply,Partner Share: My Favorite Science Tool,Reflect,Journaling: What Tools I Used,Reflect,Sorting: Tools and Their Uses,Analyze,Role Play: Using Science Tools,Apply,Creating a Science Tool Chart,Create,Visualization: Imagine Using Tools,Apply,Group Discussion: Why Science Tools Matter,Analyze,Interview: Ask Someone About Their Science Tools,Apply,Writing Prompt: How I Use Science Tools,Create,Partner Challenge: Try Using a New Tool,Apply,Group Project: Science Tool Presentation,Apply,Reflection Circle: What I Learned About Science Tools,Reflect,Presentation: My Science Tool Project,Evaluate,Sorting Game: Match Tools to Uses,Analyze,Celebration: Science Tools Day,Reflect,Drawing Project: Science Tools I Like,Create
1,Science,9,Recycling & Sustainability,Explore how to care for Earth through recycling and conservation.,"responsibility, materials sorting, habits",What Is Recycling?,Remember,Why Is Recycling Important?,Understand,Sorting Recyclable and Non-Recyclable Materials,Analyze,Storytime: Caring for Our Planet,Understand,Partner Share: How I Help the Earth,Reflect,Journaling: What I Can Recycle,Reflect,Role Play: Recycling at Home,Apply,Creating a Recycling Chart,Create,Visualization: Imagine a Cleaner Earth,Apply,Group Discussion: How Recycling Helps,Analyze,Interview: Ask Someone About Recycling,Apply,Writing Prompt: Why I Recycle,Create,Partner Challenge: Recycle at Home,Apply,Group Project: Create a Recycling Campaign,Create,Reflection Circle: What I Learned About Recycling,Reflect,Presentation: My Recycling Chart,Evaluate,Sorting Game: Match Items to Recycling Bins,Analyze,Celebration: Earth Day,Reflect,Drawing Project: Ways to Help the Earth,Create,Experiment: Recycling Challenge,Apply
1,Science,10,"The Sun, Moon, and Earth","Observe patterns of day, night, and shadows.","space patterns, rotation, recording observations",What Is the Sun?,Remember,What Is the Moon?,Remember,Day and Night Patterns,Understand,Storytime: A Day in the Life of the Sun,Understand,Observing Shadows,Apply,Partner Share: What I See in the Sky,Reflect,Journaling: How Day and Night Change,Reflect,Role Play: Acting Out Day and Night,Apply,Creating a Shadow Chart,Create,Visualization: Imagine Life Without the Sun,Apply,Group Discussion: Why the Sun Is Important,Analyze,Interview: Ask Someone About the Sun and Moon,Apply,Writing Prompt: My Favorite Time of Day,Create,Sorting Game: Match Day and Night Activities,Analyze,Experiment: Observing Shadows,Apply,Reflection Circle: What I Learned About the Sun and Moon,Reflect,Presentation: My Shadow Chart,Evaluate,Partner Challenge: Observe the Sky,Apply,Celebration: Sun and Moon Day,Reflect,Drawing Project: My Favorite Sky Object,Create
1,Science,11,Using the Scientific Method,Apply basic steps of experimentation through a simple project.,"prediction, testing, reflection",What Is the Scientific Method?,Remember,Steps of the Scientific Method,Understand,Storytime: Doing an Experiment,Understand,Planning an Experiment,Apply,Partner Share: My Experiment Plan,Reflect,Journaling: What I Think Will Happen,Reflect,Conducting the Experiment,Apply,Recording Results,Apply,Analyzing Results,Analyze,Group Discussion: What I Learned,Analyze,Creating a Science Journal,Create,Role Play: Explaining My Experiment,Apply,Interview: Ask Someone About Their Experiment,Apply,Writing Prompt: What I Learned From My Experiment,Create,Partner Challenge: Try the Experiment Again,Apply,Reflection Circle: What I Learned About the Scientific Method,Reflect,Presentation: My Science Journal,Evaluate,Sorting Game: Match Steps to Experiments,Analyze,Celebration: Scientific Method Day,Reflect,Drawing Project: My Experiment,Create
1,Science,12,Science Share Day,Present a favorite experiment or science learning to peers.,"communication, summary, creativity",What Is Science Share Day?,Remember,Storytime: Sharing Science Discoveries,Understand,Planning My Presentation,Apply,Partner Share: What I Want to Show,Reflect,Creating Visual Aids,Create,Journaling: My Science Learning,Reflect,Role Play: Explaining My Science Project,Apply,Group Discussion: Why Sharing Science Matters,Analyze,Presentation Practice,Apply,Interview: Ask Someone About Their Science Project,Apply,Writing Prompt: What I Learned,Create,Creating a Science Share Poster,Create,Reflection Circle: What I Learned About Sharing,Reflect,Partner Challenge: Practice Presenting,Apply,Group Project: Organize a Science Share Day,Create,Visualization: Imagine Presenting to an Audience,Apply,Final Presentation Rehearsal,Apply,Sharing My Science Project,Evaluate,Celebration: Science Share Day,Reflect,Drawing Project: My Science Share,Create
1,SEL,1,Recognizing Our Feelings,Identify personal emotions and name them accurately.,"self-awareness, vocabulary, emotional labeling",What Are Feelings?,Remember,Naming Feelings in Ourselves,Remember,Matching Feelings to Faces,Understand,Big vs. Little Feelings,Understand,Feelings in the Body,Understand,Using Feeling Words to Share,Apply,Storytime: A Character With Big Feelings,Understand,Draw a Time You Felt Happy,Apply,Act Out a Feeling Without Words,Apply,Feeling Freeze Game,Apply,Talking About When We Feel Upset,Analyze,Sort That Emotion (scenarios),Analyze,Writing About a Feeling I Had This Week,Create,Partner Talk: Share & Name Emotions,Apply,Create a ‚ÄúFeeling Words‚Äù Mini Book,Create,Let‚Äôs Make an Emotion Thermometer,Create,Story Reflection: When Feelings Changed,Reflect,My Personal Feeling Check-In Chart,Create,Feeling Circle: What We Learned,Evaluate,Our Feeling Wall Celebration,Reflect
1,SEL,2,Showing Respect,Practice respectful listening and speaking with others.,"social norms, respect, interpersonal skills",What Is Respect?,Remember,Respectful or Not? Picture Sort,Understand,Using Kind Words,Apply,Raising Our Hands and Taking Turns,Apply,Listening with Our Eyes and Ears,Apply,Storytime: Characters Showing Respect,Understand,Partner Practice: Giving Full Attention,Apply,Voice Volume Practice (indoor/outdoor voices),Apply,Body Language of Respect,Analyze,‚ÄúI Can Show Respect‚Äù Scenarios,Analyze,Respect Role Plays,Apply,Drawing What Respect Looks Like,Create,Respect Song or Chant (Class Creation),Create,Writing a Note of Thanks,Create,Circle Talk: Why Respect Matters,Reflect,Compliment Chain Activity,Apply,Helping a Classmate = Showing Respect,Apply,Story Reflection: When I Felt Respected,Reflect,Respect Awards Ceremony,Evaluate,Our Class Pledge of Respect,Reflect
1,SEL,3,Listening & Taking Turns,Follow directions and take turns in conversation and play.,"listening, patience, cooperation",What Does It Mean to Listen?,Remember,"Ears Open, Mouth Closed",Remember,Why Do We Take Turns?,Understand,Good Listening Looks Like...,Understand,Simon Says: Listening Practice,Apply,Partner Turn-Taking Game,Apply,Storytime: Someone Didn‚Äôt Listen,Understand,Drawing a Scene with Good Listening,Apply,Group Role Play: Taking Turns in a Game,Apply,Circle Time Challenge: One Person Speaks at a Time,Apply,Talking Stick Practice,Apply,What Happens When We Interrupt?,Analyze,Listening for Directions (Scavenger Hunt),Apply,Writing or Dictating About a Time You Listened Well,Create,Partner Interview Activity,Apply,Create a ‚ÄúGood Listener‚Äù Badge,Create,Reflecting on a Time I Waited My Turn,Reflect,Helping Others Listen,Analyze,Teamwork Listening Challenge,Evaluate,Listening & Turn-Taking Celebration,Reflect
1,SEL,4,Identifying Strengths,"Recognize individual talents, likes, and learning styles.","self-reflection, confidence, personal strengths",What Is a Strength?,Remember,Naming Things We‚Äôre Good At,Remember,What Makes Me Unique?,Understand,"I Like, I Can, I Am (Reflection Activity)",Understand,Drawing My Talents,Apply,Partner Talk: What Do You Like to Do?,Apply,Storytime: A Character Learns Their Strength,Understand,Our Strengths Gallery (Pictures or Drawings),Apply,Strengths Scavenger Hunt,Apply,Compliment a Classmate‚Äôs Strength,Apply,Create a ‚ÄúStrengths Star‚Äù for Yourself,Create,Strengths Role Play (Helping With Our Gifts),Analyze,Write or Dictate a ‚ÄúMy Superpower‚Äù Statement,Create,Interview a Friend About What They‚Äôre Good At,Apply,Build a Strength Chain (Each Link = One Strength),Create,Group Brainstorm: Why Do Strengths Matter?,Analyze,Reflecting on Something You‚Äôve Improved At,Reflect,Share One Thing You‚Äôre Proud Of,Reflect,Strengths Celebration Circle,Reflect,Our Class is Full of Strength! (Poster or Performance),Evaluate
